type,keyword,trend_stage,opportunity_score,reliable_recent,reliable_full,min_recent_mentions,min_full_mentions,total_mentions,avg_rating,satisfaction_gap,prior_per_1k_19_20,recent_per_1k_21_22,growth_pct,momentum_pct,product_count,product_share_pct,avg_product_rating,mentions_per_product,share_2016,share_2017,share_2018,share_2019,share_2020,share_2021,share_2022,share_2023,note
claim,fragrance-free,성숙,84.7,True,True,3309,1213,21989,3.992,-0.123,2.943,3.502,18.98,22.04,4817,1.549,4.206,4.56,2.656,2.751,2.746,2.866,2.999,3.156,3.852,3.168,
claim,spf,성숙,78.9,True,True,6634,3742,54402,4.221,0.106,6.672,7.493,12.3,13.65,6389,2.054,4.172,8.51,8.815,7.652,7.693,7.585,6.012,7.017,7.975,6.726,
claim,korean beauty,성숙,77.9,True,True,550,309,3960,4.312,0.198,0.499,0.579,16.0,30.56,2205,0.709,4.17,1.8,0.691,0.632,0.599,0.5,0.499,0.503,0.656,0.955,
claim,clean beauty,성장·안정,77.4,True,True,256,32,1359,4.483,0.369,0.211,0.272,28.91,41.38,1034,0.332,4.218,1.31,0.076,0.066,0.119,0.182,0.232,0.226,0.319,0.44,
claim,barrier,성장·안정,74.7,True,False,134,19,844,4.338,0.223,0.105,0.171,61.94,28.13,1599,0.514,4.281,0.53,0.042,0.043,0.083,0.082,0.122,0.15,0.192,0.289,
claim,soothing,성숙,64.2,True,True,5133,2759,37004,4.499,0.384,4.771,4.825,1.14,13.78,12249,3.938,4.179,3.02,6.039,5.643,5.41,4.934,4.652,4.516,5.138,5.363,
claim,vegan,성숙,61.1,True,True,999,429,6764,4.337,0.223,0.952,1.068,12.18,25.79,13096,4.21,4.177,0.52,0.96,0.878,1.015,1.015,0.906,0.947,1.191,1.017,
claim,hydrating,성숙,56.8,True,True,20361,5055,112154,4.378,0.263,17.581,19.316,9.87,5.32,29911,9.616,4.186,3.75,11.064,10.761,11.692,16.376,18.452,18.818,19.82,18.817,
claim,brightening,성숙,54.2,True,True,1159,517,7959,4.298,0.183,1.054,1.161,10.19,9.87,5446,1.751,4.088,1.46,1.132,1.153,1.067,1.058,1.051,1.107,1.216,1.296,
claim,sensitive skin,성숙,52.1,True,True,14108,5372,87621,4.302,0.188,12.975,12.819,-1.21,0.05,10375,3.336,4.155,8.45,11.992,10.984,11.16,12.806,13.097,12.816,12.822,11.719,
claim,dermatologist,성숙,46.8,True,True,1361,774,10709,4.462,0.347,1.338,1.296,-3.17,8.01,4172,1.341,4.23,2.57,1.696,1.605,1.516,1.482,1.234,1.246,1.346,1.077,
claim,anti-aging,성숙,40.0,True,True,2087,1426,18255,4.361,0.247,2.054,1.952,-4.96,9.12,12427,3.995,4.094,1.47,3.778,3.053,2.52,2.278,1.892,1.868,2.038,2.216,
claim,natural,성숙,39.5,True,True,28098,13623,193067,4.429,0.314,27.401,24.784,-9.55,6.22,82048,26.379,4.004,2.35,30.18,27.854,28.899,28.718,26.449,24.04,25.536,26.759,
claim,hypoallergenic,성숙,38.4,True,True,295,112,2057,3.889,-0.226,0.28,0.279,-0.27,9.79,5161,1.659,4.101,0.4,0.247,0.318,0.295,0.296,0.268,0.266,0.292,0.221,
claim,cruelty-free,성숙,37.4,True,True,964,615,7210,4.381,0.267,0.997,0.901,-9.68,21.21,15310,4.922,4.165,0.47,1.431,1.258,1.371,1.167,0.874,0.815,0.988,0.953,
